1	937850	941599
1	1149280	1152279
1	1279200	1283179
1	1307630	1312749
1	1361650	1363849
1	2123680	2131879
1	2513830	2518479
1	3371530	3374849
1	3660900	3663879
1	9647400	9657229
1	9960150	9973749
1	10854430	10856949
1	12037930	12047429
1	12078850	12081379
1	16061050	16063329
1	16064180	16066199
1	16337830	16349649
1	20985900	20990479
1	23804600	23812099
1	26480880	26493149
1	27699250	27701399
1	29448600	29453049
1	32033050	32056249
1	44410650	44415499
1	45138330	45141879
1	100713980	100716899
1	148927800	148930399
1	150227300	150233699
1	151339980	151346099
1	151803080	151806949
1	153915700	153922549
1	154925950	154931229
1	204010500	204015049
1	205471350	205477149
1	214448850	214457949
1	224544200	224546429
1	226492350	226498679
1	228333250	228335279
10	694600	697729
10	698880	702479
10	14115300	14117799
10	75407750	75417129
10	77187200	77192049
10	88712330	88722199
10	100173400	100176299
10	134210300	134215799
10	135185580	135188849
11	450730	452949
11	803650	807549
11	817800	821749
11	842750	847999
11	1859750	1865449
11	1883600	1887029
11	1940500	1949349
11	1965980	1972229
11	2007080	2010879
11	2478500	2486549
11	2910230	2912229
11	4663080	4669349
11	6517630	6520149
11	8106800	8108899
11	44779900	44789979
11	45682650	45685499
11	46359280	46364779
11	46381550	46388679
11	47196880	47211899
11	47289380	47293829
11	57001650	57003999
11	61343900	61345999
11	61641550	61644149
11	63684250	63691129
11	63705000	63708099
11	64006730	64011049
11	64070830	64074629
11	64083730	64089799
11	64120350	64128099
11	64510600	64517099
11	64566650	64572699
11	64657150	64663099
11	64682930	64687299
11	64755730	64758599
11	64862300	64865579
11	65077050	65079229
11	65403430	65410199
11	65637800	65641799
11	67156500	67160899
11	67181830	67188699
11	67270450	67277679
11	67372880	67376099
11	67394880	67397079
11	67397380	67400999
11	68669900	68673799
11	69061700	69069049
11	69301500	69305099
11	72428900	72435899
11	72926850	72931279
11	74870080	74873249
11	119184500	119193429
11	124765550	124772199
11	130732700	130739179
11	130740680	130743829
12	6739500	6743499
12	7050980	7056099
12	7065200	7074549
12	27931400	27934829
12	48154830	48160049
12	52583730	52590249
12	53494300	53500099
12	57604630	57608729
12	58001480	58008899
12	58119150	58121199
12	90103100	90105279
12	117534350	117536479
12	122149000	122153979
12	123559250	123575149
12	123575300	123606029
13	111157000	111163849
13	113623380	113625479
14	23902280	23915729
14	24613880	24617999
14	25514800	25521199
14	53196100	53198649
14	67979550	67982249
14	90917300	90922299
14	103586900	103589979
14	103992800	103997049
14	105142300	105150199
14	105153800	105158049
14	105187480	105192299
14	105192780	105194929
14	105195830	105204779
14	105530000	105532449
14	105554750	105560449
14	105884430	105890499
14	105936030	105952849
15	36867750	36870399
15	40613850	40616049
15	40730530	40733399
15	41247600	41251249
15	41849380	41851899
15	62457530	62459779
15	71476280	71481579
15	74606200	74608699
16	118550	130449
16	427600	430899
16	574980	577699
16	685600	694399
16	1469350	1472449
16	1828450	1830549
16	1875050	1878249
16	2020650	2023879
16	2262050	2266549
16	2299730	2303279
16	3191730	3196149
16	19726930	19731429
16	30381630	30385179
16	30536350	30540449
16	30549450	30552249
16	30795330	30800349
16	30903680	30909349
16	31122030	31126299
16	46776200	46786679
16	56994150	56997349
16	58528100	58531499
16	66638980	66641179
16	66965730	66971329
16	67557730	67568399
16	67700130	67702549
16	68263750	68268249
16	68277400	68283829
16	81475680	81482179
16	83930830	83940479
16	84175700	84179199
16	84536800	84540049
17	921580	927029
17	976050	980499
17	1384900	1400779
17	2238380	2242929
17	2609200	2611349
17	4456380	4460729
17	4868900	4879399
17	4888830	4894049
17	8128700	8131129
17	19279500	19282399
17	27945730	27951749
17	37819630	37837829
17	37884730	37887429
17	40705030	40708349
17	41907450	41912249
17	41923180	41927749
17	42247200	42250329
17	42277350	42279399
17	43203380	43211299
17	43299000	43307899
17	43500750	43505049
17	45769930	45775129
17	48171180	48176399
17	48449130	48451499
17	48619730	48621949
17	62074250	62078049
17	72872300	72875879
17	73503400	73511679
17	73585450	73588399
17	74439750	74449399
17	75393930	75398049
17	76122080	76127979
17	76138880	76142799
17	76898000	76900049
17	76917250	76924629
17	76975600	76977629
17	77750250	77752249
17	79012250	79014249
17	79280000	79288399
17	79676980	79679049
17	79789250	79793849
17	79820600	79822599
17	79881300	79885699
17	79933380	79936049
17	79978800	79981299
17	80056450	80060499
17	80170500	80172549
17	80185000	80189079
18	7232780	7235749
18	32072330	32075829
18	59418880	59420879
19	457930	462449
19	1204180	1210999
19	2013430	2017449
19	2718250	2720349
19	2721400	2725129
19	3027000	3031149
19	3357000	3359979
19	3930650	3932849
19	4517900	4520749
19	4638100	4640149
19	8405250	8409529
19	8430330	8434329
19	10539800	10545299
19	11544680	11547879
19	14141200	14144229
19	14217250	14219899
19	15216650	15220329
19	15232930	15237899
19	17412600	17418449
19	17666050	17668899
19	34854350	34858199
19	37824430	37826979
19	39108050	39111379
19	39132800	39136779
